"country","year","pop","areakm2","gdpnom","flights...WB","hotels","hotrooms","receipt","ovnarriv","dayvisit","arram","arreur","arraus"
5,0,638200,765,7966000000,21303,270.967213114754,7596.81176470588,854000000,3869000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
5,1,642500,765,7969000000,20492,270.967213114754,7596.81176470588,886000000,4388000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
5,2,642100,765,8489000000,19752,270.967213114754,7596.81176470588,985000000,4831000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
5,3,647200,765,9745000000,28508,270.967213114754,7596.81176470588,1206000000,4844000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
5,4,671800,765,11233000000,32488,270.967213114754,7596.81176470588,1504000000,5667000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
5,5,724800,765,13457000000,22425.2025316456,270.967213114754,7596.81176470588,1603000000,6313000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
5,6,811400,765,15848000000,22425.2025316456,270.967213114754,7596.81176470588,1786000000,7289000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
5,7,925700,765,18468000000,22425.2025316456,100,7596.81176470588,1854000000,7833000,2898000,267000,507000,7053
5,8,1052000,765,22146000000,22425.2025316456,101,9217,1927000000,8631000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
5,9,1170000,765,19287000000,69808,105,8367,1873000000,8861000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
5,10,1262000,765,21488000000,62473,100,8679,2163000000,11952000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
5,11,1324000,765,25866000000,60779,101,9010,1766000000,6732000,485411.111111111,91000,513000,6196
5,12,491219.171779141,765,27026000000,61904,270.967213114754,7596.81176470588,689248716.216216,750799.044585987,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
6,0,267500,431,3098000000,22425.2025316456,270.967213114754,7596.81176470588,733000000,545000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
6,1,268200,431,3096000000,22425.2025316456,270.967213114754,7596.81176470588,706000000,507000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
6,2,268800,431,3115000000,22425.2025316456,270.967213114754,7596.81176470588,666000000,498000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
6,3,269400,431,3244000000,22425.2025316456,270.967213114754,7596.81176470588,767000000,531000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
6,4,269900,431,3492000000,22425.2025316456,270.967213114754,7596.81176470588,784000000,552000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
6,5,270500,431,3908000000,22425.2025316456,270.967213114754,7596.81176470588,1081000000,548000,485411.111111111,98674.1344537815,198859.268907563,5353.73846153846
